date,visitStartTime,trafficSource,city,state,userID
2020-04-11,17:31:32,Ravelry.com,Boise,Idaho,dknobell0
2020-04-11,22:28:24,twitter.com,Memphis,Tennessee,lcopeman1
2020-04-11,4:41:08,facebook.com,Irvine,California,rfairfoul2
2020-04-11,5:06:18,twitter.com,Bloomington,Illinois,ddoggett3
2020-04-11,17:47:13,MocoSpace.com,Richmond,Virginia,mchatband4
2020-04-11,10:50:28,twitter.com,Muncie,Indiana,kolijve5
2020-04-11,19:59:03,google.com,Dallas,Texas,ctalks6
2020-04-11,15:20:51,youtube.com,Topeka,Kansas,hsherry7
2020-04-11,5:33:02,facebook.com,Shreveport,Louisiana,ssurmanwells8
2020-04-11,20:54:12,MocoSpace.com,Philadelphia,Pennsylvania,dchang9
2020-04-11,5:41:25,youtube.com,Sunnyvale,California,ckirklanda
2020-04-11,1:35:34,twitter.com,Denver,Colorado,larrighinib
2020-04-11,8:08:27,facebook.com,Wichita,Kansas,fvandenhoffc
2020-04-11,17:17:30,youtube.com,Minneapolis,Minnesota,rpinckstoned
2020-04-11,6:54:06,Ravelry.com,Brooklyn,New York,msedgefielde
2020-04-11,20:09:27,twitter.com,Lakewood,Washington,wharewoodf
2020-04-11,19:14:06,google.com,Peoria,Illinois,sbasekeg
2020-04-11,7:26:24,Ravelry.com,Kansas City,Missouri,imckeemanh
2020-04-11,12:28:22,MocoSpace.com,Helena,Montana,vfarrari
2020-04-11,2:16:38,youtube.com,Sioux Falls,South Dakota,gdigglesj
2020-04-11,1:06:39,facebook.com,Mountain View,California,mballancek
2020-04-11,18:04:40,twitter.com,Dallas,Texas,oslowlyl
2020-04-11,21:10:13,youtube.com,Springfield,Illinois,btomickim
2020-04-11,11:26:29,facebook.com,Oklahoma City,Oklahoma,bbeeseyn
2020-04-11,15:30:52,google.com,Washington,District of Columbia,bbooyo
2020-04-11,4:36:38,Ravelry.com,San Jose,California,tpelcheurp
2020-04-11,1:25:09,MocoSpace.com,Tampa,Florida,ekiljanq
2020-04-11,15:40:15,Ravelry.com,Edmond,Oklahoma,ldumsdayr
2020-04-11,19:17:41,facebook.com,Baton Rouge,Louisiana,dbedbroughs
2020-04-11,12:54:05,twitter.com,Brea,California,fducarelt
2020-04-11,5:05:39,Ravelry.com,Louisville,Kentucky,mashallu
2020-04-11,13:36:30,facebook.com,Anchorage,Alaska,mpaicev
2020-04-11,4:45:32,facebook.com,Jackson,Mississippi,acranidgew
2020-04-11,18:06:04,google.com,Tampa,Florida,lrokex
2020-04-11,12:47:20,twitter.com,Aurora,Colorado,tmcgeadyy
2020-04-11,4:46:56,facebook.com,Oklahoma City,Oklahoma,abraidenz
2020-04-11,8:02:58,facebook.com,Newark,New Jersey,mtabert10
2020-04-11,19:43:58,google.com,Kent,Washington,hsimpkin11
2020-04-11,20:53:59,MocoSpace.com,Tulsa,Oklahoma,praecroft12
2020-04-11,2:27:53,Ravelry.com,Austin,Texas,rmcdarmid13
2020-04-11,19:02:29,MocoSpace.com,Santa Fe,New Mexico,cschwartz14
2020-04-11,2:29:49,MocoSpace.com,Brooklyn,New York,sbrokenshaw15
2020-04-11,21:05:41,google.com,Schenectady,New York,astannislawski16
2020-04-11,17:23:13,Ravelry.com,Minneapolis,Minnesota,jbowell17
2020-04-11,12:14:44,twitter.com,Roanoke,Virginia,glazenby18
2020-04-11,20:00:24,youtube.com,Indianapolis,Indiana,asimonutti19
2020-04-11,8:53:13,MocoSpace.com,Davenport,Iowa,sseyler1a
2020-04-11,22:12:36,MocoSpace.com,New York City,New York,aboyall1b
2020-04-11,9:58:52,youtube.com,Minneapolis,Minnesota,kmulvin1c
2020-04-11,7:55:06,google.com,Orlando,Florida,dofeeny1d
2020-04-11,10:26:03,facebook.com,Houston,Texas,csail1e
2020-04-11,11:16:19,facebook.com,New York City,New York,dferraron1f
2020-04-11,21:36:04,facebook.com,Jacksonville,Florida,aberriman1g
2020-04-11,7:54:59,MocoSpace.com,Northridge,California,yalesio1h
2020-04-11,0:18:29,youtube.com,Madison,Wisconsin,hhammerstone1i
2020-04-11,16:07:19,youtube.com,Des Moines,Iowa,ecrummey1j
2020-04-11,18:17:11,twitter.com,Baltimore,Maryland,mweeke1k
2020-04-11,11:44:36,MocoSpace.com,Lake Charles,Louisiana,llovat1l
2020-04-11,0:18:23,Ravelry.com,Terre Haute,Indiana,apeakman1m
2020-04-11,20:33:27,Ravelry.com,Pensacola,Florida,cwolvey1n
2020-04-11,14:45:35,youtube.com,Philadelphia,Pennsylvania,mspadotto1o
2020-04-11,14:22:55,Ravelry.com,Seattle,Washington,ilarvor1p
